,type,title,listed_in,description
0,Movie,Norm of the North: King Sized Adventure,"Children & Family Movies, Comedies","Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."
1,Movie,Jandino: Whatever it Takes,Stand-Up Comedy,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show."
2,TV Show,Transformers Prime,Kids' TV,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron."
3,TV Show,Transformers: Robots in Disguise,Kids' TV,"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind."
4,Movie,#realityhigh,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
5,TV Show,Apaches,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.
6,Movie,Automata,"International Movies, Sci-Fi & Fantasy, Thrillers","In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."
7,Movie,Fabrizio Copano: Solo pienso en mi,Stand-Up Comedy,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more."
8,TV Show,Fire Chasers,"Docuseries, Science & Nature TV","As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries."
9,Movie,Good People,"Action & Adventure, Thrillers",A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.
10,Movie,Joaquín Reyes: Una y no más,Stand-Up Comedy,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more."
11,Movie,Kidnapping Mr. Heineken,"Action & Adventure, Dramas, International Movies","When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."
12,Movie,Krish Trish and Baltiboy,Children & Family Movies,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab."
13,Movie,Krish Trish and Baltiboy: Battle of Wits,Children & Family Movies,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice."
14,Movie,Krish Trish and Baltiboy: Best Friends Forever,Children & Family Movies,"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan."
15,Movie,Krish Trish and Baltiboy: Comics of India,Children & Family Movies,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister."
16,Movie,Krish Trish and Baltiboy: Oversmartness Never Pays,Children & Family Movies,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra."
17,Movie,Krish Trish and Baltiboy: Part II,Children & Family Movies,"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon."
18,Movie,Krish Trish and Baltiboy: The Greatest Trick,Children & Family Movies,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything."
19,Movie,Love,"Cult Movies, Dramas, Independent Movies",A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.
20,Movie,Manhattan Romance,"Comedies, Independent Movies, Romantic Movies",A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.
21,Movie,Moonwalkers,"Action & Adventure, Comedies, International Movies","A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing."
22,Movie,Rolling Papers,Documentaries,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture."
23,Movie,Stonehearst Asylum,"Horror Movies, Thrillers","In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient."
24,Movie,The Runner,"Dramas, Independent Movies",A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.
25,Movie,6 Years,"Dramas, Independent Movies, Romantic Movies","As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future."
26,TV Show,Castle of Stars,"International TV Shows, Romantic TV Shows, TV Comedies","As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life."
27,Movie,City of Joy,Documentaries,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment."
28,TV Show,First and Last,Docuseries,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.
29,Movie,Laddaland,"Horror Movies, International Movies","When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity."
30,Movie,Next Gen,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain."
31,Movie,Sierra Burgess Is A Loser,"Comedies, Romantic Movies",A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.
32,Movie,The Most Assassinated Woman in the World,"Dramas, International Movies, Thrillers","In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past."
33,Movie,Cézanne et moi,"Dramas, Independent Movies, International Movies","This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys."
34,TV Show,Archibald's Next Big Thing,"Kids' TV, TV Comedies","Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!"
35,Movie,Article 15,"Dramas, International Movies, Thrillers",The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.
36,Movie,Care of Kancharapalem,"Comedies, Dramas, Independent Movies","From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town."
37,Movie,Ee Nagaraniki Emaindi,"Comedies, International Movies","In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true."
38,Movie,Kill Me If You Dare,"Comedies, International Movies, Romantic Movies","Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part."
39,TV Show,The Spy,"International TV Shows, TV Dramas, TV Thrillers","In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad."
40,Movie,Hell and Back,"Action & Adventure, Comedies, Independent Movies","When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld."
41,Movie,PK,"Comedies, Dramas, International Movies",Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.
42,Movie,Hard Tide,"Dramas, Independent Movies",A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.
43,Movie,Elstree 1976,Documentaries,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever."
44,Movie,American Factory: A Conversation with the Obamas,Documentaries,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.
45,Movie,ATM,"Comedies, International Movies, Romantic Movies","When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job."
46,Movie,Bangkok Traffic (Love) Story,"Comedies, International Movies, Romantic Movies","After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love."
47,Movie,I Fine... Thank You... Love You,"Comedies, International Movies, Romantic Movies","Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan."
48,Movie,One Day,"Dramas, International Movies, Romantic Movies","When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again."
49,Movie,Phobia 2,"Horror Movies, International Movies","From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology."
50,Movie,Shutter,"Horror Movies, International Movies","After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice."
51,Movie,Suckseed,"Comedies, International Movies","When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group."
52,Movie,Carrie Pilby,"Comedies, Dramas","A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date."
53,Movie,Marc Maron: Too Real,Stand-Up Comedy,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world."
54,TV Show,No Tomorrow,"Romantic TV Shows, TV Comedies, TV Dramas","Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot."
55,Movie,Saawan,"Dramas, Independent Movies, International Movies","Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story."
56,Movie,The Heretics,Horror Movies,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.
57,Movie,The World We Make,"Dramas, Romantic Movies","A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test."
58,Movie,Watchman,"Comedies, Dramas, International Movies","Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside."
59,Movie,Black Panther,"Action & Adventure, Sci-Fi & Fantasy","T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new."
60,Movie,Man Up,"Comedies, International Movies, Romantic Movies","A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date."
61,TV Show,Frequency,"Crime TV Shows, TV Dramas, TV Mysteries","A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp."
62,Movie,Mo Gilligan: Momentum,Stand-Up Comedy,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club."
63,TV Show,Adam Ruins Everything,TV Comedies,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways."
64,TV Show,Ben 10,Kids' TV,Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.
65,Movie,Big Miracle,"Children & Family Movies, Dramas","After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events."
66,TV Show,Christiane Amanpour: Sex & Love Around the World,Docuseries,"A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports."
67,TV Show,The Eighties,Docuseries,"This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today."
68,TV Show,The Nineties,Docuseries,This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.
69,TV Show,The Seventies,Docuseries,"This series examines 1970s America, focusing on the major political and historical landmarks of the decade and the cultural response to those events."
70,TV Show,We Bare Bears,"Kids' TV, TV Comedies","Grizzly, Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world."
71,Movie,The Mayor,"Dramas, International Movies","With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden."
72,TV Show,The Royal House of Windsor,"British TV Shows, Docuseries, International TV Shows","Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more."
73,Movie,Amanda Knox,Documentaries,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.
74,TV Show,Lovesick,"International TV Shows, Romantic TV Shows, TV Dramas",Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.
75,Movie,The Debt Collector,Action & Adventure,"A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection."
76,Movie,Act of Vengeance,"Action & Adventure, International Movies","Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist)."
77,Movie,Paradise Lost,"Dramas, Independent Movies, International Movies","A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there."
78,Movie,Gerald's Game,"Horror Movies, Thrillers","When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice."
79,Movie,Long Shot,Documentaries,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary."
80,TV Show,Mak Cun,"International TV Shows, TV Comedies, TV Dramas",A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.
81,Movie,Our Souls at Night,"Dramas, Romantic Movies","After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom."
82,Movie,Out of Thin Air,"Documentaries, International Movies","Picking up 40 years after six were convicted for two strange murders in Iceland, this chilling documentary proves confessions can’t always be trusted."
83,TV Show,Paul Hollywood's Big Continental Road Trip,"British TV Shows, Docuseries, International TV Shows","Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany."
84,TV Show,Satu Hari,"International TV Shows, TV Dramas","A man haunted by his wife's affair moves to Sarajevo and starts to love again, until fate forces him to choose between his new life and old loyalty."
85,Movie,"Monster High: Boo York, Boo York","Children & Family Movies, Music & Musicals",Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans.
86,Movie,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,"Documentaries, International Movies",An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki University’s Aqua Culture Research Institute.
87,Movie,Domino,"International Movies, Thrillers","A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage."
88,Movie,TUNA GIRL,"Dramas, International Movies",A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.
89,Movie,5CM,"Dramas, International Movies","Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship."
90,Movie,Animal World,"Action & Adventure, International Movies, Sci-Fi & Fantasy","An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host."
91,Movie,Hold the Dark,"Action & Adventure, Dramas","In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery."
92,Movie,Lessons from a School Shooting: Notes from Dunblane,Documentaries,"Two priests – one from Dunblane, Scotland, the other from Newtown, Connecticut – bond over school tragedies that occurred 16 years apart."
93,TV Show,Made in Mexico,"International TV Shows, Reality TV, Spanish-Language TV Shows","These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles."
94,Movie,Single,"Comedies, International Movies, Romantic Movies","Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother."
95,Movie,The 3rd Eye,"Horror Movies, International Movies","When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home."
96,Movie,The Sinking Of Van Der Wijck,"Dramas, International Movies, Romantic Movies","When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background."
97,Movie,Two Catalonias,"Documentaries, International Movies",Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.
98,Movie,Bobby Sands: 66 Days,Documentaries,"In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon."
99,TV Show,Bard of Blood,"International TV Shows, TV Action & Adventure, TV Dramas","Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission."
